20/06/2014 01:03:24 INFO Administracion de Proyectos, hecho por marcelo
20/06/2014 01:03:30 INFO Ingreso a Administracion de Fases, proyecto P1, hecho por marcelo
20/06/2014 01:03:34 INFO Administracion de Proyectos, hecho por marcelo
20/06/2014 01:04:25 INFO Administracion de Proyectos, hecho por marcelo
20/06/2014 01:04:34 INFO Logout de Usuario 
20/06/2014 01:04:49 INFO Login de Usuario ysapy
20/06/2014 01:04:50 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 01:05:14 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 01:06:26 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 01:10:28 INFO Listado de Tipos de Atributo de Proyecto P2, hecho por ysapy
20/06/2014 01:11:15 INFO Creacion de Tipos de Atributo cantidad de Proyecto P2, hecho por ysapy
20/06/2014 01:11:17 INFO Listado de Tipos de Atributo de Proyecto P2, hecho por ysapy
20/06/2014 01:11:40 INFO Creacion de Tipos de Atributo temporal de Proyecto P2, hecho por ysapy
20/06/2014 01:11:42 INFO Listado de Tipos de Atributo de Proyecto P2, hecho por ysapy
20/06/2014 01:12:06 INFO Creacion de Tipos de Atributo nombre de Proyecto P2, hecho por ysapy
20/06/2014 01:12:07 INFO Listado de Tipos de Atributo de Proyecto P2, hecho por ysapy
20/06/2014 01:16:28 INFO Gestion de tipo de item Requerimiento de proyecto P2, hecho por ysapy
20/06/2014 01:16:32 INFO Gestion de tipo de item Requerimiento de proyecto P2, hecho por ysapy
20/06/2014 01:16:36 INFO Gestion de tipo de item Requerimiento de proyecto P2, hecho por ysapy
20/06/2014 01:16:39 INFO Gestion de tipo de item Requerimiento de proyecto P2, hecho por ysapy
20/06/2014 01:17:17 INFO Creacion de tipo de atributo Planificacion de proyecto P2, hecho por ysapy
20/06/2014 01:17:25 INFO Gestion de tipo de item Planificacion de proyecto P2, hecho por ysapy
20/06/2014 01:17:33 INFO Gestion de tipo de item Planificacion de proyecto P2, hecho por ysapy
20/06/2014 01:17:37 INFO Gestion de tipo de item Planificacion de proyecto P2, hecho por ysapy
20/06/2014 01:17:50 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 01:18:01 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
